"Isolate","level 1","level 2"
"GCA_019988845.1_ASM1998884v1_genomic.fna",2,8
"GCA_019989065.1_ASM1998906v1_genomic.fna",1,2
"GCA_019989025.1_ASM1998902v1_genomic.fna",1,2
"GCA_019989205.1_ASM1998920v1_genomic.fna",7,20
"GCA_019989265.1_ASM1998926v1_genomic.fna",2,8
"GCA_019989225.1_ASM1998922v1_genomic.fna",1,2
"GCA_019988945.1_ASM1998894v1_genomic.fna",1,2
"GCA_019989145.1_ASM1998914v1_genomic.fna",1,2
"GCA_019989305.1_ASM1998930v1_genomic.fna",4,14
"GCA_019989165.1_ASM1998916v1_genomic.fna",7,20
"GCA_019989345.1_ASM1998934v1_genomic.fna",2,8
"GCA_019988725.1_ASM1998872v1_genomic.fna",7,20
"GCA_019989365.1_ASM1998936v1_genomic.fna",2,8
"GCA_019989275.1_ASM1998927v1_genomic.fna",2,8
"GCA_019989315.1_ASM1998931v1_genomic.fna",4,14
"GCA_019989445.1_ASM1998944v1_genomic.fna",4,14
"GCA_019989465.1_ASM1998946v1_genomic.fna",2,9
"GCA_019989485.1_ASM1998948v1_genomic.fna",3,11
"GCA_019989385.1_ASM1998938v1_genomic.fna",2,9
"GCA_019989405.1_ASM1998940v1_genomic.fna",2,9
"GCA_019989515.1_ASM1998951v1_genomic.fna",4,14
"GCA_019989425.1_ASM1998942v1_genomic.fna",2,9
"GCA_019989625.1_ASM1998962v1_genomic.fna",4,14
"GCA_019989545.1_ASM1998954v1_genomic.fna",4,14
"GCA_019989645.1_ASM1998964v1_genomic.fna",2,8
"GCA_019989565.1_ASM1998956v1_genomic.fna",2,9
"GCA_019989605.1_ASM1998960v1_genomic.fna",4,14
"GCA_019989505.1_ASM1998950v1_genomic.fna",2,9
"GCA_019989575.1_ASM1998957v1_genomic.fna",2,9
"GCA_019989745.1_ASM1998974v1_genomic.fna",3,11
"GCA_019989765.1_ASM1998976v1_genomic.fna",4,14
"GCA_019989685.1_ASM1998968v1_genomic.fna",2,9
"GCA_019989705.1_ASM1998970v1_genomic.fna",4,16
"GCA_019989665.1_ASM1998966v1_genomic.fna",3,11
"GCA_019989775.1_ASM1998977v1_genomic.fna",3,11
"GCA_019989845.1_ASM1998984v1_genomic.fna",3,11
"GCA_019989805.1_ASM1998980v1_genomic.fna",1,2
"GCA_019989715.1_ASM1998971v1_genomic.fna",3,11
"GCA_019989865.1_ASM1998986v1_genomic.fna",3,11
"GCA_019989795.1_ASM1998979v1_genomic.fna",4,16
"GCA_019989875.1_ASM1998987v1_genomic.fna",2,9
"GCA_019989925.2_ASM1998992v2_genomic.fna",3,11
"GCA_019989955.1_ASM1998995v1_genomic.fna",4,14
"GCA_019990025.1_ASM1999002v1_genomic.fna",4,14
"GCA_019989985.1_ASM1998998v1_genomic.fna",4,14
"GCA_019989995.1_ASM1998999v1_genomic.fna",4,14
"GCA_019989945.1_ASM1998994v1_genomic.fna",4,14
"GCA_019990085.1_ASM1999008v1_genomic.fna",1,3
"GCA_019990045.1_ASM1999004v1_genomic.fna",4,14
"GCA_019990125.1_ASM1999012v1_genomic.fna",4,16
"GCA_019989895.1_ASM1998989v1_genomic.fna",4,14
"GCA_019990145.1_ASM1999014v1_genomic.fna",2,8
"GCA_019990165.1_ASM1999016v1_genomic.fna",4,14
"GCA_019990095.1_ASM1999009v1_genomic.fna",1,3
"GCA_019990065.1_ASM1999006v1_genomic.fna",4,14
"GCA_019990175.1_ASM1999017v1_genomic.fna",1,2
"GCA_019990225.1_ASM1999022v1_genomic.fna",2,9
"GCA_019990205.1_ASM1999020v1_genomic.fna",2,8
"GCA_019990245.1_ASM1999024v1_genomic.fna",2,9
"GCA_019990275.1_ASM1999027v1_genomic.fna",2,9
"GCA_019990385.1_ASM1999038v1_genomic.fna",4,14
"GCA_019990355.1_ASM1999035v1_genomic.fna",1,2
"GCA_019990425.1_ASM1999042v1_genomic.fna",1,2
"GCA_019990445.1_ASM1999044v1_genomic.fna",2,9
"GCA_019991245.1_ASM1999124v1_genomic.fna",1,3
"GCA_019991215.1_ASM1999121v1_genomic.fna",7,20
"GCA_019990295.1_ASM1999029v1_genomic.fna",4,14
"GCA_019990345.1_ASM1999034v1_genomic.fna",2,9
"GCA_019991185.1_ASM1999118v1_genomic.fna",2,9
"GCA_019990325.1_ASM1999032v1_genomic.fna",2,9
"GCA_019990265.1_ASM1999026v1_genomic.fna",4,14
"GCA_019991265.1_ASM1999126v1_genomic.fna",4,16
"GCA_019991285.1_ASM1999128v1_genomic.fna",1,3
"GCA_019991165.1_ASM1999116v1_genomic.fna",4,14
"GCA_019991325.1_ASM1999132v1_genomic.fna",7,20
"GCA_019990405.1_ASM1999040v1_genomic.fna",4,14
"GCA_019991345.1_ASM1999134v1_genomic.fna",1,2
"GCA_019991205.1_ASM1999120v1_genomic.fna",2,9
"GCA_019991415.1_ASM1999141v1_genomic.fna",2,8
"GCA_019991335.1_ASM1999133v1_genomic.fna",7,20
"GCA_019991405.1_ASM1999140v1_genomic.fna",4,14
"GCA_019991305.1_ASM1999130v1_genomic.fna",7,20
"GCA_019991465.1_ASM1999146v1_genomic.fna",7,20
"GCA_019991425.1_ASM1999142v1_genomic.fna",1,2
"GCA_019991505.1_ASM1999150v1_genomic.fna",2,9
"GCA_019991485.1_ASM1999148v1_genomic.fna",4,14
"GCA_019991525.1_ASM1999152v1_genomic.fna",2,8
"GCA_019991545.1_ASM1999154v1_genomic.fna",7,20
"GCA_019991585.1_ASM1999158v1_genomic.fna",2,9
"GCA_019991555.1_ASM1999155v1_genomic.fna",4,14
"GCA_019991665.1_ASM1999166v1_genomic.fna",2,9
"GCA_019991625.1_ASM1999162v1_genomic.fna",2,8
"GCA_019991635.1_ASM1999163v1_genomic.fna",4,14
"GCA_019991605.1_ASM1999160v1_genomic.fna",2,9
"GCA_019991685.1_ASM1999168v1_genomic.fna",2,9
"GCA_019991805.1_ASM1999180v1_genomic.fna",2,9
"GCA_019991745.1_ASM1999174v1_genomic.fna",2,9
"GCA_019991905.1_ASM1999190v1_genomic.fna",7,20
"GCA_019991845.1_ASM1999184v1_genomic.fna",2,9
"GCA_019991385.1_ASM1999138v1_genomic.fna",2,9
"GCA_019991725.1_ASM1999172v1_genomic.fna",7,20
"GCA_019991695.1_ASM1999169v1_genomic.fna",4,14
"GCA_019991825.1_ASM1999182v1_genomic.fna",2,9
"GCA_019992045.1_ASM1999204v1_genomic.fna",1,1
"GCA_019991985.1_ASM1999198v1_genomic.fna",2,8
"GCA_019991785.1_ASM1999178v1_genomic.fna",2,9
"GCA_019991765.1_ASM1999176v1_genomic.fna",2,9
"GCA_019991945.1_ASM1999194v1_genomic.fna",2,9
"GCA_019991955.1_ASM1999195v1_genomic.fna",2,8
"GCA_019992025.1_ASM1999202v1_genomic.fna",1,1
"GCA_019992065.1_ASM1999206v1_genomic.fna",4,16
"GCA_019992085.1_ASM1999208v1_genomic.fna",2,8
"GCA_019991865.1_ASM1999186v1_genomic.fna",2,9
"GCA_019991875.1_ASM1999187v1_genomic.fna",4,14
"GCA_019991925.1_ASM1999192v1_genomic.fna",2,9
"GCA_019992095.1_ASM1999209v1_genomic.fna",2,9
"GCA_019992125.1_ASM1999212v1_genomic.fna",2,9
"GCA_019992005.1_ASM1999200v1_genomic.fna",4,14
"GCA_019992145.1_ASM1999214v1_genomic.fna",2,9
"GCA_019992165.1_ASM1999216v1_genomic.fna",2,9
"GCA_019992155.1_ASM1999215v1_genomic.fna",2,9
"GCA_019992225.1_ASM1999222v1_genomic.fna",2,8
"GCA_019992235.1_ASM1999223v1_genomic.fna",1,1
"GCA_019992255.1_ASM1999225v1_genomic.fna",2,9
"GCA_019992205.1_ASM1999220v1_genomic.fna",2,9
"GCA_019992295.1_ASM1999229v1_genomic.fna",1,2
"GCA_019992325.1_ASM1999232v1_genomic.fna",2,9
"GCA_019992365.1_ASM1999236v1_genomic.fna",2,9
"GCA_019992285.1_ASM1999228v1_genomic.fna",2,9
"GCA_019992425.1_ASM1999242v1_genomic.fna",2,9
"GCA_019992485.1_ASM1999248v1_genomic.fna",7,20
"GCA_019992445.1_ASM1999244v1_genomic.fna",2,9
"GCA_019992385.1_ASM1999238v1_genomic.fna",2,8
"GCA_019992565.1_ASM1999256v1_genomic.fna",7,20
"GCA_019992455.1_ASM1999245v1_genomic.fna",2,9
"GCA_019992405.1_ASM1999240v1_genomic.fna",4,14
"GCA_019992635.1_ASM1999263v1_genomic.fna",4,14
"GCA_019992585.1_ASM1999258v1_genomic.fna",2,9
"GCA_019992605.1_ASM1999260v1_genomic.fna",2,9
"GCA_019992345.1_ASM1999234v1_genomic.fna",2,9
"GCA_019992525.1_ASM1999252v1_genomic.fna",7,20
"GCA_041643415.1_ASM4164341v1_genomic.fna",1,1
"GCA_041643335.1_ASM4164333v1_genomic.fna",1,1
"GCA_019992495.1_ASM1999249v1_genomic.fna",7,20
"GCA_041643355.1_ASM4164335v1_genomic.fna",1,1
"GCA_041643475.1_ASM4164347v1_genomic.fna",1,1
"GCA_019992665.1_ASM1999266v1_genomic.fna",7,20
"GCA_041643455.1_ASM4164345v1_genomic.fna",1,4
"GCA_041643555.1_ASM4164355v1_genomic.fna",1,1
"GCA_021607385.1_ASM2160738v1_genomic.fna",7,20
"GCA_041643595.1_ASM4164359v1_genomic.fna",1,1
"GCA_021607265.1_ASM2160726v1_genomic.fna",7,20
"GCA_041643375.1_ASM4164337v1_genomic.fna",1,1
"GCA_041643535.1_ASM4164353v1_genomic.fna",1,1
"GCA_041643495.1_ASM4164349v1_genomic.fna",7,20
"GCA_041643515.1_ASM4164351v1_genomic.fna",1,5
"GCA_041643605.1_ASM4164360v1_genomic.fna",1,1
"GCA_041643435.1_ASM4164343v1_genomic.fna",1,3
"GCA_041643575.1_ASM4164357v1_genomic.fna",1,1
"GCA_041643715.1_ASM4164371v1_genomic.fna",1,1
"GCA_041643655.1_ASM4164365v1_genomic.fna",1,1
"GCA_041643635.1_ASM4164363v1_genomic.fna",1,1
"GCA_041643675.1_ASM4164367v1_genomic.fna",1,1
"GCA_041643735.1_ASM4164373v1_genomic.fna",1,1
"GCA_041643855.1_ASM4164385v1_genomic.fna",3,12
"GCA_041643775.1_ASM4164377v1_genomic.fna",1,1
"GCA_041643795.1_ASM4164379v1_genomic.fna",1,1
"GCA_041643695.1_ASM4164369v1_genomic.fna",1,1
"GCA_041643815.1_ASM4164381v1_genomic.fna",1,1
"GCA_041643875.1_ASM4164387v1_genomic.fna",3,12
"GCA_041643755.1_ASM4164375v1_genomic.fna",1,1
"GCA_041643935.1_ASM4164393v1_genomic.fna",8,21
"GCA_041644015.1_ASM4164401v1_genomic.fna",9,23
"GCA_041644035.1_ASM4164403v1_genomic.fna",9,23
"GCA_041643955.1_ASM4164395v1_genomic.fna",8,21
"GCA_041643995.1_ASM4164399v1_genomic.fna",8,21
"GCA_041644115.1_ASM4164411v1_genomic.fna",8,22
"GCA_041644175.1_ASM4164417v1_genomic.fna",7,20
"GCA_041643915.1_ASM4164391v1_genomic.fna",8,21
"GCA_041644095.1_ASM4164409v1_genomic.fna",8,22
"GCA_041644235.1_ASM4164423v1_genomic.fna",8,22
"GCA_041644135.1_ASM4164413v1_genomic.fna",10,27
"GCA_041643895.1_ASM4164389v1_genomic.fna",8,21
"GCA_041644155.1_ASM4164415v1_genomic.fna",10,27
"GCA_041643835.1_ASM4164383v1_genomic.fna",1,1
"GCA_041644245.1_ASM4164424v1_genomic.fna",8,22
"GCA_041644275.1_ASM4164427v1_genomic.fna",7,20
"GCA_041644055.1_ASM4164405v1_genomic.fna",8,22
"GCA_041644295.1_ASM4164429v1_genomic.fna",7,20
"GCA_041643975.1_ASM4164397v1_genomic.fna",8,21
"GCA_041644315.1_ASM4164431v1_genomic.fna",7,20
"GCA_041644335.1_ASM4164433v1_genomic.fna",7,20
"GCA_041644195.1_ASM4164419v1_genomic.fna",7,20
"GCA_041644075.1_ASM4164407v1_genomic.fna",8,21
"GCA_041644205.1_ASM4164420v1_genomic.fna",8,22
"GCA_041644475.1_ASM4164447v1_genomic.fna",7,20
"GCA_041644355.1_ASM4164435v1_genomic.fna",7,20
"GCA_041644375.1_ASM4164437v1_genomic.fna",7,20
"GCA_041644515.1_ASM4164451v1_genomic.fna",7,20
"GCA_041644435.1_ASM4164443v1_genomic.fna",7,20
"GCA_041644415.1_ASM4164441v1_genomic.fna",7,20
"GCA_041644495.1_ASM4164449v1_genomic.fna",8,21
"GCA_041644565.1_ASM4164456v1_genomic.fna",1,6
"GCA_041644595.1_ASM4164459v1_genomic.fna",2,8
"GCA_041644395.1_ASM4164439v1_genomic.fna",7,20
"GCA_041644535.1_ASM4164453v1_genomic.fna",1,1
"GCA_041644555.1_ASM4164455v1_genomic.fna",8,21
"GCA_041646035.1_ASM4164603v1_genomic.fna",10,28
"GCA_041644455.1_ASM4164445v1_genomic.fna",7,20
"GCA_041644675.1_ASM4164467v1_genomic.fna",2,9
"GCA_041646175.1_ASM4164617v1_genomic.fna",1,5
"GCA_041646115.1_ASM4164611v1_genomic.fna",2,9
"GCA_041646295.1_ASM4164629v1_genomic.fna",2,8
"GCA_041646195.1_ASM4164619v1_genomic.fna",7,20
"GCA_041646255.1_ASM4164625v1_genomic.fna",4,14
"GCA_041646235.1_ASM4164623v1_genomic.fna",1,1
"GCA_041646095.1_ASM4164609v1_genomic.fna",10,28
"GCA_041646135.1_ASM4164613v1_genomic.fna",4,14
"GCA_041644615.1_ASM4164461v1_genomic.fna",10,28
"GCA_041646215.1_ASM4164621v1_genomic.fna",2,8
"GCA_041646275.1_ASM4164627v1_genomic.fna",4,14
"GCA_041646155.1_ASM4164615v1_genomic.fna",2,8
"GCA_041646375.1_ASM4164637v1_genomic.fna",10,28
"GCA_041646315.1_ASM4164631v1_genomic.fna",10,28
"GCA_041646395.1_ASM4164639v1_genomic.fna",3,12
"GCA_041646435.1_ASM4164643v1_genomic.fna",7,20
"GCA_041646415.1_ASM4164641v1_genomic.fna",3,12
"GCA_041646455.1_ASM4164645v1_genomic.fna",3,12
"GCA_041646335.1_ASM4164633v1_genomic.fna",1,5
"GCA_041646495.1_ASM4164649v1_genomic.fna",5,18
"GCA_041646475.1_ASM4164647v1_genomic.fna",1,1
"GCA_041646535.1_ASM4164653v1_genomic.fna",4,15
"GCA_041646515.1_ASM4164651v1_genomic.fna",1,1
"GCA_041646355.1_ASM4164635v1_genomic.fna",10,28
"GCA_041646635.1_ASM4164663v1_genomic.fna",3,13
"GCA_041646555.1_ASM4164655v1_genomic.fna",5,18
"GCA_041646585.1_ASM4164658v1_genomic.fna",3,13
"GCA_041646675.1_ASM4164667v1_genomic.fna",3,13
"GCA_041646735.1_ASM4164673v1_genomic.fna",4,15
"GCA_041646705.1_ASM4164670v1_genomic.fna",1,4
"GCA_041646655.1_ASM4164665v1_genomic.fna",3,13
"GCA_041646695.1_ASM4164669v1_genomic.fna",3,13
"GCA_041646575.1_ASM4164657v1_genomic.fna",1,1
"GCA_041646755.1_ASM4164675v1_genomic.fna",1,1
"GCA_041646605.1_ASM4164660v1_genomic.fna",1,1
"GCA_041646775.1_ASM4164677v1_genomic.fna",1,7
"GCA_041646795.1_ASM4164679v1_genomic.fna",1,4
"GCA_041646915.1_ASM4164691v1_genomic.fna",1,6
"GCA_041646975.1_ASM4164697v1_genomic.fna",1,6
"GCA_041646815.1_ASM4164681v1_genomic.fna",9,24
"GCA_041646955.1_ASM4164695v1_genomic.fna",1,4
"GCA_041646855.1_ASM4164685v1_genomic.fna",1,4
"GCA_041646935.1_ASM4164693v1_genomic.fna",1,4
"GCA_041646835.1_ASM4164683v1_genomic.fna",1,7
"GCA_041647015.1_ASM4164701v1_genomic.fna",1,6
"GCA_041646995.1_ASM4164699v1_genomic.fna",1,6
"GCA_041647075.1_ASM4164707v1_genomic.fna",1,6
"GCA_041647095.1_ASM4164709v1_genomic.fna",1,6
"GCA_041647055.1_ASM4164705v1_genomic.fna",1,6
"GCA_041646875.1_ASM4164687v1_genomic.fna",9,24
"GCA_041647155.1_ASM4164715v1_genomic.fna",1,5
"GCA_041647115.1_ASM4164711v1_genomic.fna",1,6
"GCA_041647235.1_ASM4164723v1_genomic.fna",8,21
"GCA_041647255.1_ASM4164725v1_genomic.fna",8,21
"GCA_041647175.1_ASM4164717v1_genomic.fna",8,21
"GCA_041646895.1_ASM4164689v1_genomic.fna",1,4
"GCA_041647195.1_ASM4164719v1_genomic.fna",8,21
"GCA_041647215.1_ASM4164721v1_genomic.fna",8,21
"GCA_041647275.1_ASM4164727v1_genomic.fna",9,25
"GCA_041647295.1_ASM4164729v1_genomic.fna",7,20
"GCA_041647035.1_ASM4164703v1_genomic.fna",4,14
"GCA_041647335.1_ASM4164733v1_genomic.fna",7,20
"GCA_041647375.1_ASM4164737v1_genomic.fna",9,25
"GCA_041647315.1_ASM4164731v1_genomic.fna",7,20
"GCA_041647135.1_ASM4164713v1_genomic.fna",1,5
"GCA_041647355.1_ASM4164735v1_genomic.fna",5,18
"GCA_041647395.1_ASM4164739v1_genomic.fna",7,20
"GCA_041647435.1_ASM4164743v1_genomic.fna",9,25
"GCA_041647415.1_ASM4164741v1_genomic.fna",1,5
"GCA_041647475.1_ASM4164747v1_genomic.fna",10,28
"GCA_041647615.1_ASM4164761v1_genomic.fna",1,3
"GCA_041647495.1_ASM4164749v1_genomic.fna",10,28
"GCA_041647575.1_ASM4164757v1_genomic.fna",1,1
"GCA_042263665.1_ASM4226366v1_genomic.fna",2,10
"GCA_041647635.1_ASM4164763v1_genomic.fna",1,1
"GCF_000192045.2_ASM19204v3_genomic.fna",1,1
"GCA_041647555.1_ASM4164755v1_genomic.fna",1,4
"GCA_041647455.1_ASM4164745v1_genomic.fna",1,5
"GCA_041647595.1_ASM4164759v1_genomic.fna",2,10
"GCA_041647525.1_ASM4164752v1_genomic.fna",5,18
"GCF_001009385.1_ASM100938v1_genomic.fna",2,10
"GCA_042263725.1_ASM4226372v1_genomic.fna",2,8
"GCA_042477975.1_ASM4247797v1_genomic.fna",8,22
"GCA_041647515.1_ASM4164751v1_genomic.fna",1,4
"GCF_000800665.1_ASM80066v1_genomic.fna",8,21
"GCF_001009405.1_v1_genomic.fna",2,8
"GCA_041647655.1_ASM4164765v1_genomic.fna",1,1
"GCF_001009465.1_v1_genomic.fna",1,2
"GCF_001009545.1_ASM100954v1_genomic.fna",7,20
"GCF_001009475.1_v1_genomic.fna",2,9
"GCF_001009395.1_v1_genomic.fna",2,9
"GCF_001009795.1_v1_genomic.fna",7,20
